Refs,datasheet,footprint,prefix,value,Автор,Обозначение по ГОСТ,Наименование,Поле3,Поле4,Поле5,Дата последней коррекции,Дата создания
IRM-45,T:/Components/Mean Well/AC_DC/IRM45.pdf,IRM-45,A,IRM-45,Иванов И.И.,IRM-45,Any,,,,31.05.2018_14:16,31.05.2018_14:16
IRM-45-1,T:/Components/Mean Well/AC_DC/IRM45.pdf,IRM-45,A,IRM-45-1,Иванов И.И.,IRM-45,Any,,,,31.05.2018_14:16,31.05.2018_14:16
